method,batch_size,epochs,updates,time_seconds,final_train_loss,train_accuracy,validation_accuracy,test_accuracy
Full-batch GD,16603,80,80,0.837306399946101,0.9016043679586503,0.6581340721556346,0.6548736462093863,0.7377167630057804
Mini-batch GD,256,80,5200,0.9015269000083208,0.47943931134852263,0.8405709811479853,0.8421179302045728,0.8870664739884393
SGD,1,80,1328240,53.856352899980266,0.4243675780143565,0.8597241462386316,0.8628158844765343,0.8777456647398844
