experiment,time_seconds,updates,final_loss,threshold,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_tp,test_tn,test_fp,test_fn,drop_duration,batch_size,learning_rate,epochs,max_epochs,l2,scheduler,pos_weight
with duration,0.24212340003577992,3201,0.32734393132044903,0.6699999999999999,0.8955568145030754,0.5246179966044142,0.7769396551724138,0.6263211234979007,0.9381406153681642,2163,19968,1960,621,0.8918295495932985,0.5134741442097597,0.759698275862069,0.6127770534550195,0.9324458567849746,705,6641,668,223,0.8952542784318486,0.5234996384671005,0.7801724137931034,0.6265685850281263,0.9370293759049897,724,6652,659,204,False,256,0.05,33,300,0.0001,True,7.876436781609195
without duration,0.17001330002676696,2231,0.534856237807658,0.7,0.8791275493687277,0.466884176182708,0.5140086206896551,0.48931441272012316,0.7972440074255558,1431,20294,1634,1353,0.8724050018210514,0.4439380127620784,0.5247844827586207,0.48098765432098767,0.790293821740792,487,6699,610,441,0.8730428450054618,0.44326923076923075,0.49676724137931033,0.46849593495934966,0.7872229316712182,461,6732,579,467,True,256,0.05,23,300,0.0001,True,7.876436781609195
