experiment,time_seconds,updates,final_loss,threshold,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_tp,test_tn,test_fp,test_fn,batch_size,learning_rate,epochs,l2
lr=0.02,0.5670280000194907,7760,0.20799226734475998,0.5,0.9116218841048883,0.6720183486238532,0.4209770114942529,0.5176678445229682,0.9352444140593876,1172,21356,572,1612,0.9100400631297803,0.660377358490566,0.41487068965517243,0.5095962938451356,0.9289456550969282,385,7111,198,543,0.9095764049035077,0.6522462562396006,0.4224137931034483,0.512753433616743,0.9326538836142044,392,7102,209,536,256,0.02,80,0.0
lr=0.05,0.5666422999929637,7760,0.20771484471060594,0.5,0.9115004855940434,0.6689303904923599,0.4245689655172414,0.5194462755438365,0.935574566528073,1182,21343,585,1602,0.9096758528590506,0.6575342465753424,0.41379310344827586,0.5079365079365079,0.9290579988771519,384,7109,200,544,0.9090909090909091,0.6469622331691297,0.4245689655172414,0.5126870527000651,0.9330259021597122,394,7096,215,534,256,0.05,80,0.0
lr=0.1,0.5480475999647751,7760,0.2074616743154348,0.5,0.9119456134671414,0.6727272727272727,0.42528735632183906,0.5211267605633803,0.9360909508705607,1184,21352,576,1600,0.9089474323175913,0.6529209621993127,0.40948275862068967,0.5033112582781457,0.9294911563919778,380,7107,202,548,0.9088481611846098,0.6457990115321252,0.4224137931034483,0.5107491856677525,0.9338877058188181,392,7096,215,536,256,0.1,80,0.0
lr=0.2,0.5438802999560721,7760,0.20746258859343916,0.5,0.9124716736808028,0.6759206798866856,0.42852011494252873,0.5245108815124203,0.9366879281252752,1193,21356,572,1591,0.909311642588321,0.6531302876480541,0.41594827586206895,0.5082290980908492,0.9300149850680078,386,7104,205,542,0.9088481611846098,0.645320197044335,0.4234913793103448,0.5113858165256995,0.9348112669147577,393,7095,216,535,256,0.2,80,0.0
