experiment,time_seconds,updates,final_loss,threshold,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_tp,test_tn,test_fp,test_fn,batch_size,learning_rate,epochs,l2
L2=0.0,0.54745939996792,7760,0.2074616743154348,0.5,0.9119456134671414,0.6727272727272727,0.42528735632183906,0.5211267605633803,0.9360909508705607,1184,21352,576,1600,0.9089474323175913,0.6529209621993127,0.40948275862068967,0.5033112582781457,0.9294911563919778,380,7107,202,548,0.9088481611846098,0.6457990115321252,0.4224137931034483,0.5107491856677525,0.9338877058188181,392,7096,215,536,256,0.1,80,0.0
L2=0.1,0.5423084000358358,7760,0.20756004340736903,0.5,0.9118646811265781,0.6725512528473804,0.42420977011494254,0.5202643171806167,0.9359596270133813,1181,21353,575,1603,0.9089474323175913,0.653448275862069,0.4084051724137931,0.5026525198938991,0.9294301192200451,379,7108,201,549,0.9093336569972084,0.6500829187396352,0.4224137931034483,0.5120836054866101,0.9337152566515265,392,7100,211,536,256,0.1,80,0.1
L2=1.0,0.5406212999951094,7760,0.2082738177295417,0.5,0.9113790870831985,0.6759478672985783,0.4098419540229885,0.5102862254025045,0.9352479031427828,1141,21381,547,1643,0.909554449435474,0.6648648648648648,0.39762931034482757,0.49763991908294,0.9290202560848458,369,7123,186,559,0.9087267872314602,0.6538461538461539,0.40301724137931033,0.4986666666666667,0.9328867636862734,374,7113,198,554,256,0.1,80,1.0
L2=10.0,0.5425261999480426,7760,0.21757538869198728,0.5,0.9072920038847524,0.6948616600790514,0.31573275862068967,0.43418127932822914,0.9319054103922136,879,21542,386,1905,0.9084618186232851,0.7051886792452831,0.32219827586206895,0.4423076923076923,0.9264423938837805,299,7184,125,629,0.9060565602621677,0.6905940594059405,0.30064655172413796,0.41891891891891897,0.9301828491786114,279,7186,125,649,256,0.1,80,10.0
