experiment,time_seconds,updates,final_loss,threshold,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_tp,test_tn,test_fp,test_fn,batch_size,learning_rate,epochs,max_epochs,l2,scheduler,pos_weight
Full-batch GD,0.4936963000218384,80,0.2760602622811147,0.5,0.9055519585626416,0.6345693779904307,0.38110632183908044,0.4762118491921005,0.9330967276132547,1061,21317,611,1723,0.9076119946582494,0.6483126110124334,0.3933189655172414,0.48960429242119385,0.9280721158609366,365,7111,198,563,0.9047214467775215,0.633147113594041,0.36637931034482757,0.46416382252559724,0.9331993830741584,340,7114,197,588,24712,0.1,80,80,0.0,False,1.0
Mini-batch GD,0.6009304000181146,7760,0.2074616743154348,0.5,0.9119456134671414,0.6727272727272727,0.42528735632183906,0.5211267605633803,0.9360909508705607,1184,21352,576,1600,0.9089474323175913,0.6529209621993127,0.40948275862068967,0.5033112582781457,0.9294911563919778,380,7107,202,548,0.9088481611846098,0.6457990115321252,0.4224137931034483,0.5107491856677525,0.9338877058188181,392,7096,215,536,256,0.1,80,80,0.0,False,1.0
SGD,12.37093430000823,741360,0.21862437090643383,0.5,0.9102460343153124,0.652972972972973,0.4339080459770115,0.5213638325420802,0.9291862022575451,1208,21286,642,1576,0.9028772611387641,0.603225806451613,0.40301724137931033,0.4832041343669251,0.9211296535683451,374,7063,246,554,0.9065420560747663,0.6196969696969697,0.44073275862068967,0.5151133501259446,0.9271512812530952,409,7060,251,519,1,0.01,30,30,0.0,False,1.0
Mini-batch + threshold tuning,0.5427564000128768,7760,0.2074616743154348,0.25999999999999995,0.9074134023955973,0.5734162226169331,0.6957614942528736,0.628691983122363,0.9360909508705607,1937,20487,1441,847,0.9003277892436566,0.5466434176111595,0.6756465517241379,0.6043373493975904,0.9294911563919778,627,6789,520,301,0.9029008374802767,0.555846422338569,0.6864224137931034,0.6142719382835101,0.9338877058188181,637,6802,509,291,256,0.1,80,80,0.0,False,1.0
Mini-batch + weight decay + scheduler,0.23328419995959848,3104,0.20796848505786117,0.25999999999999995,0.9081417934606669,0.5769922109047334,0.6918103448275862,0.6292061417837308,0.9352177135620442,1926,20516,1412,858,0.9010562097851159,0.5496049165935031,0.6745689655172413,0.6057087566521528,0.9288128181599445,626,6796,513,302,0.9046000728243719,0.5628318584070796,0.6853448275862069,0.618075801749271,0.9324798131299553,636,6817,494,292,256,0.1,32,300,0.0001,True,1.0
Mini-batch + class weight + scheduler,0.2420939999865368,3201,0.32734393132044903,0.6699999999999999,0.8955568145030754,0.5246179966044142,0.7769396551724138,0.6263211234979007,0.9381406153681642,2163,19968,1960,621,0.8918295495932985,0.5134741442097597,0.759698275862069,0.6127770534550195,0.9324458567849746,705,6641,668,223,0.8952542784318486,0.5234996384671005,0.7801724137931034,0.6265685850281263,0.9370293759049897,724,6652,659,204,256,0.05,33,300,0.0001,True,7.876436781609195
