loss,display_name,init_scale,seed,threshold,time_seconds,test_accuracy,test_precision,test_recall,test_f1,test_auc
logistic_bce,Logistic BCE,0.0,0,0.71,0.45780439994996414,0.9018084719019298,0.5477145148356054,0.7359913793103449,0.6280459770114942,0.9353152017036209
logistic_bce,Logistic BCE,0.0,1,0.72,0.48505849996581674,0.903143585386576,0.5528455284552846,0.7327586206896551,0.6302131603336423,0.9356776397398346
logistic_bce,Logistic BCE,0.0,2,0.73,0.49501709995092824,0.9061779342153173,0.5651808242220353,0.7241379310344828,0.634860651865848,0.9357283427428674
logistic_bce,Logistic BCE,0.1,0,0.72,0.4953232999541797,0.903507707246025,0.5543744889615699,0.7306034482758621,0.6304044630404463,0.9353850657252416
logistic_bce,Logistic BCE,0.1,1,0.71,0.5801610000198707,0.9013229760893312,0.5461847389558233,0.7327586206896551,0.6258628624022089,0.9356123448841849
logistic_bce,Logistic BCE,0.1,2,0.73,1.2673575000371784,0.9061779342153173,0.5651808242220353,0.7241379310344828,0.634860651865848,0.935736301935204
logistic_bce,Logistic BCE,1.0,0,0.71,1.142633100040257,0.900716106323583,0.5436507936507936,0.7381465517241379,0.6261425959780622,0.9358987284158495
logistic_bce,Logistic BCE,1.0,1,0.72,1.3055024999775924,0.9027794635271271,0.5520918785890074,0.7252155172413793,0.6269212855146717,0.9348342601370632
logistic_bce,Logistic BCE,1.0,2,0.74,1.1268127999501303,0.9071489258405147,0.5700773860705073,0.7144396551724138,0.6341463414634146,0.9357251001089525
logistic_bce,Logistic BCE,3.0,0,0.7599999999999999,1.281581900024321,0.9064206821216167,0.5691629955947136,0.6961206896551724,0.6262724188075618,0.9361497377593517
logistic_bce,Logistic BCE,3.0,1,0.7499999999999999,1.591236200009007,0.903143585386576,0.5572183098591549,0.6821120689655172,0.6133720930232558,0.9310804692032317
logistic_bce,Logistic BCE,3.0,2,0.71,1.6444293999811634,0.9005947323704333,0.543357199681782,0.7359913793103449,0.6251716247139588,0.9353933197024795
linear_probability,Linear probability loss,0.0,0,0.95,1.2010314000071958,0.8812962738196383,0.4842964824120603,0.8308189655172413,0.6119047619047618,0.9324622734283248
linear_probability,Linear probability loss,0.0,1,0.95,1.3653216999955475,0.8816603956790873,0.48519218651543794,0.8297413793103449,0.6123260437375746,0.9324238039986982
linear_probability,Linear probability loss,0.0,2,0.95,1.3746497000101954,0.8808107780070397,0.483125,0.8329741379310345,0.6115506329113924,0.9324523981341295
linear_probability,Linear probability loss,0.1,0,0.95,1.362506699981168,0.8819031435853866,0.48580441640378547,0.8297413793103449,0.6128133704735377,0.9325315478801428
linear_probability,Linear probability loss,0.1,1,0.95,1.1031707999645732,0.8817817696322369,0.4854614412136536,0.8275862068965517,0.6119521912350597,0.932370153146652
linear_probability,Linear probability loss,0.1,2,0.95,1.170658299990464,0.8808107780070397,0.4830827067669173,0.8308189655172413,0.6109350237717909,0.9325831352378796
linear_probability,Linear probability loss,1.0,0,0.95,1.0523844999843277,0.8759558198810535,0.4713414634146341,0.8329741379310345,0.60202492211838,0.9309069882887855
linear_probability,Linear probability loss,1.0,1,0.95,1.2911114000016823,0.8736497147712101,0.46610677864427114,0.8372844827586207,0.5988439306358382,0.9303476339384678
linear_probability,Linear probability loss,1.0,2,0.95,1.2437161999987438,0.8785046728971962,0.4775384615384615,0.8362068965517241,0.607912260086173,0.9314143131040142
linear_probability,Linear probability loss,3.0,0,0.94,1.217583600024227,0.7355261560869037,0.2788971367974549,0.8502155172413793,0.4200159701889805,0.8720104389229267
linear_probability,Linear probability loss,3.0,1,0.95,1.2562510999850929,0.7692681150625076,0.31381553769613474,0.8836206896551724,0.4631460039536855,0.8877942542885308
linear_probability,Linear probability loss,3.0,2,0.8899999999999999,1.212285699963104,0.7917222963951935,0.32581786030061893,0.7941810344827587,0.46206896551724136,0.8682749246529792
