setting,loss,display_name,lr,epochs,l2,threshold,time_seconds,final_train_objective,final_val_objective,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_tp,test_tn,test_fp,test_fn
with_duration,logistic_bce,Logistic BCE,0.08,160,0.0001,0.71,1.7330178000265732,0.322897182390904,0.3315440209641721,0.9012016021361816,0.5456,0.7349137931034483,0.6262626262626263,0.9360829689791953,682,6743,568,246
with_duration,linear_probability,Linear probability loss,0.2,160,0.0001,0.95,1.6290141000063159,0.11899845987030613,0.12489161603820287,0.8757130719747542,0.4713603818615752,0.8512931034482759,0.6067588325652843,0.9318065244152647,790,6425,886,138
with_duration,squared_probability,Squared probability loss,0.2,160,0.0001,0.7899999999999999,1.5229459999827668,0.04502949208038446,0.04616945500575676,0.8959825221507465,0.5259692757863935,0.7747844827586207,0.6265795206971677,0.9333252562270362,719,6663,648,209
with_duration,quartic_probability,Quartic probability loss,0.5,160,0.0001,0.57,1.650904999987688,0.0074950113405274415,0.007728533924668828,0.8998664886515354,0.5403288958496476,0.7435344827586207,0.6258503401360545,0.936008830576505,690,6724,587,238
with_duration,exponential_margin,Exponential margin loss,0.002,160,0.0001,0.57,1.5724213999928907,0.6624047671546174,0.6798204835546872,0.8917344337905085,0.5152284263959391,0.65625,0.5772511848341233,0.9189113062980204,609,6738,573,319
with_duration,squared_hinge_margin,Squared hinge margin loss,0.01,160,0.0001,0.59,1.4108325999695808,0.4207074098881406,0.43187941215413,0.9029008374802767,0.5555555555555556,0.6896551724137931,0.6153846153846154,0.9355642949452644,640,6799,512,288
with_duration,cubic_hinge_margin,Cubic hinge margin loss,0.002,160,0.0001,0.5399999999999999,1.5016118999919854,0.48714232149333736,0.4977435174150518,0.8986527491200388,0.5378356387306753,0.7122844827586207,0.6128882707464071,0.9344227404147741,661,6743,568,267
with_duration,log_cosh_margin,Log-cosh margin loss,0.04,160,0.0001,0.5399999999999999,1.653151299979072,0.19591406445565196,0.19692540552313037,0.8846947445078286,0.49235048678720444,0.7629310344827587,0.5984784446322908,0.9318062296303633,708,6581,730,220
without_duration,logistic_bce,Logistic BCE,0.08,160,0.0001,0.61,1.5457387999631464,0.5320784875153312,0.5481249830974715,0.8669741473479792,0.43301435406698563,0.5851293103448276,0.49770852428964246,0.7931681535617091,543,6600,711,385
without_duration,linear_probability,Linear probability loss,0.2,160,0.0001,0.95,1.498542900022585,0.2515549264909758,0.2665355723283119,0.8664886515353805,0.4310897435897436,0.5797413793103449,0.49448529411764713,0.782433119201581,538,6601,710,390
without_duration,squared_probability,Squared probability loss,0.2,160,0.0001,0.63,1.4674764000228606,0.08873731678314717,0.09211675128201231,0.8692802524578226,0.4382767191383596,0.5700431034482759,0.4955503512880563,0.7934160676637472,529,6633,678,399
without_duration,quartic_probability,Quartic probability loss,0.5,160,0.0001,0.5399999999999999,1.7283109999843873,0.012190194690080421,0.012539097508015818,0.868794756645224,0.43765281173594134,0.5786637931034483,0.49837587006960554,0.7921207828072012,537,6621,690,391
without_duration,exponential_margin,Exponential margin loss,0.002,160,0.0001,0.59,1.568985900026746,0.8282747565469296,0.8460206204864681,0.874013836630659,0.4500907441016334,0.5344827586206896,0.4886699507389162,0.7946401619666162,496,6705,606,432
without_duration,squared_hinge_margin,Squared hinge margin loss,0.01,160,0.0001,0.5499999999999999,1.4470728999585845,0.7169953362143748,0.7426177899217176,0.8660031557227819,0.4304897314375987,0.5872844827586207,0.49680948040109385,0.7931551830260496,545,6590,721,383
without_duration,cubic_hinge_margin,Cubic hinge margin loss,0.002,160,0.0001,0.5299999999999999,1.552586000005249,0.7601363847240663,0.7835796603768499,0.8669741473479792,0.43258426966292135,0.5808189655172413,0.4958601655933762,0.7946534272871771,539,6604,707,389
without_duration,log_cosh_margin,Log-cosh margin loss,0.04,160,0.0001,0.59,1.6426349999965169,0.2913337141605223,0.301431079908072,0.8711008617550674,0.44153577661431065,0.5452586206896551,0.4879459980713597,0.792027925563275,506,6671,640,422
