display_name,init_scale,runs,mean_f1,std_f1,min_f1,max_f1,mean_auc,std_auc,mean_accuracy
Linear probability loss,0.0,3,0.6119271461845762,0.00038818974655087396,0.6115506329113924,0.6123260437375746,0.932446158520384,1.9979335292179193e-05,0.8812558158352551
Linear probability loss,0.1,3,0.6119001951601294,0.000940252241075176,0.6109350237717909,0.6128133704735377,0.9324949454215581,0.00011110872052525867,0.8814985637415543
Linear probability loss,1.0,3,0.6029270376134638,0.004600979138162367,0.5988439306358382,0.607912260086173,0.9308896451104225,0.0005335510284213983,0.8760367358498199
Linear probability loss,3.0,3,0.4484103132199691,0.02459611839436221,0.4200159701889805,0.4631460039536855,0.8760265392881456,0.01036088094531366,0.7655055225148683
Logistic BCE,0.0,3,0.6310399297369947,0.0034817537358894524,0.6280459770114942,0.634860651865848,0.9355737280621077,0.0002253211200785367,0.9037099971679411
Logistic BCE,0.1,3,0.6303759924361677,0.004498962295849396,0.6258628624022089,0.634860651865848,0.9355779041815434,0.00017813292872460485,0.9036695391835577
Logistic BCE,1.0,3,0.6290700743187162,0.004413383672633159,0.6261425959780622,0.6341463414634146,0.935486029553955,0.0005710860065136303,0.9035481652304083
Logistic BCE,3.0,3,0.6216053788482587,0.0071514462534703,0.6133720930232558,0.6262724188075618,0.9342078422216877,0.002734664251167809,0.9033863332928753
